Transaction_ID,Date,Business_Unit,Region,Cost_Category,Product_Service,Revenue,Expense,Profit,Month,Quarter,Year,Profit_Margin
TXN-104297,2023-01-07,Hardware,North America,Marketing,Hardware - Product 2,48970.41,35701.86,13268.55,1,1,2023,0.271
TXN-100814,2023-01-07,Retail,Asia Pacific,Salaries,Retail - Product 2,22822.22,23844.43,-1022.21,1,1,2023,-0.0448
TXN-104408,2023-01-07,Hardware,North America,Marketing,Hardware - Product 1,42165.61,24944.85,17220.76,1,1,2023,0.4084
TXN-100637,2023-01-07,Cloud Infrastructure,Europe,R&D,Cloud Infrastructure - Product 2,49809.05,67549.48,-17740.43,1,1,2023,-0.3562
TXN-104901,2023-01-07,Cloud Infrastructure,North America,Operations,Cloud Infrastructure - Product 3,185844.22,149197.35,36646.87,1,1,2023,0.1972
TXN-104657,2023-01-08,Hardware,Europe,Logistics,Hardware - Product 3,72906.2,47802.6,25103.6,1,1,2023,0.3443
TXN-103574,2023-01-08,Hardware,Latin America,Logistics,Hardware - Product 1,98047.83,55942.72,42105.11,1,1,2023,0.4294
TXN-104800,2023-01-08,Cloud Infrastructure,Asia Pacific,Operations,Cloud Infrastructure - Product 1,137896.4,137815.04,81.36,1,1,2023,0.0006
TXN-103486,2023-01-08,Consulting Services,Latin America,Marketing,Consulting Services - Product 4,79479.71,45117.33,34362.38,1,1,2023,0.4323
TXN-103720,2023-01-08,Hardware,Asia Pacific,Marketing,Hardware - Product 3,84450.12,49690.03,34760.09,1,1,2023,0.4116
TXN-101504,2023-01-08,Consulting Services,Europe,Software Licenses,Consulting Services - Product 3,35524.4,22104.55,13419.85,1,1,2023,0.3778
TXN-101248,2023-01-08,Enterprise Software,Latin America,Marketing,Enterprise Software - Product 2,147371.76,115994.96,31376.8,1,1,2023,0.2129
TXN-103753,2023-01-08,Enterprise Software,Europe,Marketing,Enterprise Software - Product 1,83332.93,62261.81,21071.12,1,1,2023,0.2529
TXN-103826,2023-01-08,Cloud Infrastructure,Latin America,Operations,Cloud Infrastructure - Product 4,179480.2,115688.98,63791.22,1,1,2023,0.3554
TXN-102046,2023-01-09,Retail,Asia Pacific,Real Estate,Retail - Product 3,9047.61,5347.7,3699.91,1,1,2023,0.4089
TXN-103865,2023-01-09,Cloud Infrastructure,Latin America,R&D,Cloud Infrastructure - Product 3,187376.34,180506.77,6869.57,1,1,2023,0.0367
TXN-104623,2023-01-09,Consulting Services,Asia Pacific,Salaries,Consulting Services - Product 4,59198.4,75632.04,-16433.64,1,1,2023,-0.2776
TXN-101231,2023-01-09,Consulting Services,Asia Pacific,Real Estate,Consulting Services - Product 4,41196.91,22736.35,18460.56,1,1,2023,0.4481
TXN-104537,2023-01-09,Retail,Latin America,Operations,Retail - Product 5,27339.87,26772.83,567.04,1,1,2023,0.0207
TXN-100345,2023-01-10,Enterprise Software,Latin America,Salaries,Enterprise Software - Product 4,27020.89,26681.18,339.71,1,1,2023,0.0126
TXN-103053,2023-01-10,Consulting Services,Latin America,Operations,Consulting Services - Product 2,38437.27,42759.27,-4322.0,1,1,2023,-0.1124
TXN-102932,2023-01-10,Enterprise Software,North America,Operations,Enterprise Software - Product 1,69504.78,56009.03,13495.75,1,1,2023,0.1942
TXN-100557,2023-01-10,Enterprise Software,Europe,Salaries,Enterprise Software - Product 1,73810.57,80192.46,-6381.89,1,1,2023,-0.0865
TXN-102665,2023-01-10,Hardware,Europe,Real Estate,Hardware - Product 3,33508.03,35017.74,-1509.71,1,1,2023,-0.0451
TXN-104779,2023-01-10,Cloud Infrastructure,North America,R&D,Cloud Infrastructure - Product 1,28395.77,34272.3,-5876.53,1,1,2023,-0.207
TXN-104505,2023-01-10,Enterprise Software,Europe,Real Estate,Enterprise Software - Product 3,17726.01,16409.15,1316.86,1,1,2023,0.0743
TXN-104691,2023-01-10,Enterprise Software,Europe,Real Estate,Enterprise Software - Product 1,86250.01,84202.7,2047.31,1,1,2023,0.0237
TXN-102067,2023-01-10,Retail,Asia Pacific,Real Estate,Retail - Product 5,45901.01,50847.78,-4946.77,1,1,2023,-0.1078
TXN-102155,2023-01-11,Cloud Infrastructure,Asia Pacific,Salaries,Cloud Infrastructure - Product 5,89794.52,109124.18,-19329.66,1,1,2023,-0.2153
TXN-104271,2023-01-11,Cloud Infrastructure,Asia Pacific,Logistics,Cloud Infrastructure - Product 4,88440.6,56163.06,32277.54,1,1,2023,0.365
TXN-104287,2023-01-11,Consulting Services,Europe,Salaries,Consulting Services - Product 1,41505.69,45129.73,-3624.04,1,1,2023,-0.0873
TXN-102061,2023-01-11,Cloud Infrastructure,North America,Salaries,Cloud Infrastructure - Product 1,88520.8,63218.21,25302.59,1,1,2023,0.2858
TXN-101256,2023-01-11,Consulting Services,North America,Logistics,Consulting Services - Product 4,92542.33,88260.75,4281.58,1,1,2023,0.0463
TXN-101520,2023-01-11,Enterprise Software,North America,Marketing,Enterprise Software - Product 4,171206.75,94806.81,76399.94,1,1,2023,0.4462
TXN-100615,2023-01-12,Cloud Infrastructure,Europe,Marketing,Cloud Infrastructure - Product 4,27519.17,22190.6,5328.57,1,1,2023,0.1936
TXN-101461,2023-01-12,Consulting Services,Europe,Software Licenses,Consulting Services - Product 2,28155.33,16681.44,11473.89,1,1,2023,0.4075
TXN-103399,2023-01-12,Hardware,Latin America,R&D,Hardware - Product 5,20675.54,23344.12,-2668.58,1,1,2023,-0.1291
TXN-100017,2023-01-12,Retail,Asia Pacific,Real Estate,Retail - Product 4,33843.28,36654.6,-2811.32,1,1,2023,-0.0831
TXN-104272,2023-01-12,Hardware,Latin America,Logistics,Hardware - Product 4,78889.94,62443.32,16446.62,1,1,2023,0.2085
TXN-100813,2023-01-12,Enterprise Software,Asia Pacific,Salaries,Enterprise Software - Product 3,141955.79,164625.46,-22669.67,1,1,2023,-0.1597
TXN-101991,2023-01-13,Retail,Asia Pacific,R&D,Retail - Product 3,18781.87,15271.44,3510.43,1,1,2023,0.1869
TXN-101655,2023-01-13,Retail,Asia Pacific,Software Licenses,Retail - Product 2,34734.94,22522.14,12212.8,1,1,2023,0.3516
TXN-100429,2023-01-13,Consulting Services,Asia Pacific,Operations,Consulting Services - Product 4,44815.44,28978.38,15837.06,1,1,2023,0.3534
TXN-100717,2023-01-13,Retail,Europe,R&D,Retail - Product 1,39705.14,43798.34,-4093.2,1,1,2023,-0.1031
TXN-102078,2023-01-13,Retail,Asia Pacific,Software Licenses,Retail - Product 5,39712.37,23879.6,15832.77,1,1,2023,0.3987
TXN-101451,2023-01-13,Cloud Infrastructure,Latin America,Operations,Cloud Infrastructure - Product 2,157775.19,136971.14,20804.05,1,1,2023,0.1319
TXN-103762,2023-01-14,Retail,Asia Pacific,Real Estate,Retail - Product 1,20873.47,15517.18,5356.29,1,1,2023,0.2566
TXN-104877,2023-01-14,Consulting Services,Asia Pacific,Logistics,Consulting Services - Product 1,81662.18,73966.18,7696.0,1,1,2023,0.0942
TXN-101732,2023-01-14,Enterprise Software,North America,Operations,Enterprise Software - Product 1,48585.4,30518.94,18066.46,1,1,2023,0.3718
TXN-104958,2023-01-14,Retail,North America,Real Estate,Retail - Product 1,37675.5,21834.59,15840.91,1,1,2023,0.4205
TXN-102875,2023-01-14,Retail,Europe,Real Estate,Retail - Product 1,22341.51,20313.45,2028.06,1,1,2023,0.0908
TXN-103108,2023-01-15,Consulting Services,North America,Operations,Consulting Services - Product 5,74571.41,58685.78,15885.63,1,1,2023,0.213
TXN-100763,2023-01-15,Consulting Services,North America,Salaries,Consulting Services - Product 5,50505.54,65530.33,-15024.79,1,1,2023,-0.2975
TXN-104016,2023-01-15,Retail,North America,Logistics,Retail - Product 2,40590.62,39611.84,978.78,1,1,2023,0.0241
TXN-101264,2023-01-15,Consulting Services,Europe,Logistics,Consulting Services - Product 1,70205.45,71445.23,-1239.78,1,1,2023,-0.0177
TXN-102293,2023-01-15,Hardware,North America,Salaries,Hardware - Product 2,85269.84,54800.09,30469.75,1,1,2023,0.3573
TXN-100303,2023-01-15,Consulting Services,Asia Pacific,Software Licenses,Consulting Services - Product 5,70696.1,73107.07,-2410.97,1,1,2023,-0.0341
TXN-102023,2023-01-15,Enterprise Software,Asia Pacific,Real Estate,Enterprise Software - Product 3,167190.27,99795.23,67395.04,1,1,2023,0.4031
TXN-103152,2023-01-15,Consulting Services,Asia Pacific,Marketing,Consulting Services - Product 1,89078.43,61747.61,27330.82,1,1,2023,0.3068
TXN-104921,2023-01-16,Hardware,North America,Salaries,Hardware - Product 5,116222.24,132619.58,-16397.34,1,1,2023,-0.1411
TXN-102485,2023-01-16,Consulting Services,Latin America,Marketing,Consulting Services - Product 2,71807.27,65132.01,6675.26,1,1,2023,0.093
TXN-103733,2023-01-16,Hardware,North America,Logistics,Hardware - Product 4,17952.98,17074.44,878.54,1,1,2023,0.0489
TXN-103290,2023-01-16,Hardware,Europe,Software Licenses,Hardware - Product 1,99673.32,98584.79,1088.53,1,1,2023,0.0109
TXN-103690,2023-01-17,Enterprise Software,Asia Pacific,R&D,Enterprise Software - Product 5,122868.59,182448.09,-59579.5,1,1,2023,-0.4849
TXN-104824,2023-01-17,Enterprise Software,Latin America,Operations,Enterprise Software - Product 2,77376.68,71525.0,5851.68,1,1,2023,0.0756
TXN-103518,2023-01-17,Retail,North America,Operations,Retail - Product 2,35827.52,31809.02,4018.5,1,1,2023,0.1122
TXN-100340,2023-01-17,Consulting Services,Latin America,Salaries,Consulting Services - Product 2,23717.03,26553.98,-2836.95,1,1,2023,-0.1196
TXN-102233,2023-01-17,Enterprise Software,Latin America,Real Estate,Enterprise Software - Product 5,118056.45,125340.29,-7283.84,1,1,2023,-0.0617
TXN-100415,2023-01-17,Retail,Europe,R&D,Retail - Product 2,25543.32,16804.02,8739.3,1,1,2023,0.3421
TXN-101662,2023-01-17,Consulting Services,North America,Software Licenses,Consulting Services - Product 5,31122.72,33752.65,-2629.93,1,1,2023,-0.0845
TXN-104381,2023-01-17,Retail,Europe,Salaries,Retail - Product 2,28816.52,19585.21,9231.31,1,1,2023,0.3203
TXN-102869,2023-01-18,Retail,Asia Pacific,Salaries,Retail - Product 5,49871.22,61003.77,-11132.55,1,1,2023,-0.2232
TXN-103852,2023-01-18,Consulting Services,North America,Software Licenses,Consulting Services - Product 3,12167.9,8402.98,3764.92,1,1,2023,0.3094
TXN-100431,2023-01-18,Cloud Infrastructure,North America,Marketing,Cloud Infrastructure - Product 1,67193.35,75666.69,-8473.34,1,1,2023,-0.1261
TXN-102222,2023-01-18,Enterprise Software,North America,Marketing,Enterprise Software - Product 2,139221.72,137630.91,1590.81,1,1,2023,0.0114
TXN-102908,2023-01-18,Cloud Infrastructure,Europe,Operations,Cloud Infrastructure - Product 5,60415.18,47970.1,12445.08,1,1,2023,0.206
TXN-102339,2023-01-18,Enterprise Software,Latin America,R&D,Enterprise Software - Product 2,51972.48,36286.96,15685.52,1,1,2023,0.3018
TXN-104139,2023-01-18,Enterprise Software,Asia Pacific,Marketing,Enterprise Software - Product 5,137188.66,97655.58,39533.08,1,1,2023,0.2882
TXN-102461,2023-01-18,Hardware,Latin America,R&D,Hardware - Product 4,79869.02,81288.03,-1419.01,1,1,2023,-0.0178
TXN-101313,2023-01-18,Consulting Services,North America,Real Estate,Consulting Services - Product 2,76223.17,56652.29,19570.88,1,1,2023,0.2568
TXN-103451,2023-01-19,Consulting Services,Europe,Software Licenses,Consulting Services - Product 4,91448.54,67957.94,23490.6,1,1,2023,0.2569
TXN-102300,2023-01-19,Cloud Infrastructure,North America,Marketing,Cloud Infrastructure - Product 5,49212.58,46493.06,2719.52,1,1,2023,0.0553
TXN-104226,2023-01-19,Consulting Services,Europe,Marketing,Consulting Services - Product 5,28546.98,18689.2,9857.78,1,1,2023,0.3453
TXN-101877,2023-01-20,Enterprise Software,Europe,Logistics,Enterprise Software - Product 3,130375.95,126871.69,3504.26,1,1,2023,0.0269
TXN-100469,2023-01-20,Hardware,Asia Pacific,R&D,Hardware - Product 5,73758.25,81277.5,-7519.25,1,1,2023,-0.1019
TXN-100195,2023-01-20,Hardware,North America,Real Estate,Hardware - Product 4,47719.32,42586.13,5133.19,1,1,2023,0.1076
TXN-100730,2023-01-20,Cloud Infrastructure,Asia Pacific,Real Estate,Cloud Infrastructure - Product 1,131635.52,126052.01,5583.51,1,1,2023,0.0424
TXN-100511,2023-01-21,Consulting Services,Asia Pacific,Salaries,Consulting Services - Product 1,35231.2,37330.37,-2099.17,1,1,2023,-0.0596
TXN-100522,2023-01-21,Retail,Latin America,Operations,Retail - Product 1,34131.72,26940.67,7191.05,1,1,2023,0.2107
TXN-100690,2023-01-21,Hardware,North America,Salaries,Hardware - Product 5,110078.97,71783.5,38295.47,1,1,2023,0.3479
TXN-101719,2023-01-21,Retail,Europe,Marketing,Retail - Product 2,38114.3,25705.35,12408.95,1,1,2023,0.3256
TXN-103333,2023-01-21,Retail,Latin America,Software Licenses,Retail - Product 3,32697.31,33898.24,-1200.93,1,1,2023,-0.0367
TXN-102344,2023-01-21,Consulting Services,Latin America,Software Licenses,Consulting Services - Product 2,40716.66,35072.86,5643.8,1,1,2023,0.1386
TXN-102552,2023-01-21,Cloud Infrastructure,Asia Pacific,Salaries,Cloud Infrastructure - Product 4,175777.97,182268.6,-6490.63,1,1,2023,-0.0369
TXN-104356,2023-01-22,Consulting Services,Europe,Logistics,Consulting Services - Product 3,71972.51,56372.88,15599.63,1,1,2023,0.2167
TXN-103851,2023-01-22,Cloud Infrastructure,Latin America,Logistics,Cloud Infrastructure - Product 4,28933.31,27992.5,940.81,1,1,2023,0.0325
TXN-101632,2023-01-22,Retail,North America,Real Estate,Retail - Product 5,40182.02,41479.72,-1297.7,1,1,2023,-0.0323
TXN-102778,2023-01-22,Retail,Latin America,R&D,Retail - Product 3,25631.43,22602.77,3028.66,1,1,2023,0.1182
TXN-100713,2023-01-23,Enterprise Software,North America,Salaries,Enterprise Software - Product 2,59898.23,53776.77,6121.46,1,1,2023,0.1022
TXN-102619,2023-01-23,Cloud Infrastructure,Asia Pacific,Logistics,Cloud Infrastructure - Product 1,111479.15,73666.39,37812.76,1,1,2023,0.3392
TXN-100316,2023-01-23,Hardware,Asia Pacific,Real Estate,Hardware - Product 1,12839.24,13086.51,-247.27,1,1,2023,-0.0193
TXN-103359,2023-01-23,Consulting Services,Europe,Operations,Consulting Services - Product 1,84559.22,62008.83,22550.39,1,1,2023,0.2667
TXN-103494,2023-01-23,Cloud Infrastructure,North America,Salaries,Cloud Infrastructure - Product 2,143973.17,196128.87,-52155.7,1,1,2023,-0.3623
TXN-103277,2023-01-23,Enterprise Software,North America,Software Licenses,Enterprise Software - Product 1,19111.16,13780.66,5330.5,1,1,2023,0.2789
TXN-100746,2023-01-23,Consulting Services,Europe,Marketing,Consulting Services - Product 2,13396.27,12547.03,849.24,1,1,2023,0.0634
TXN-100272,2023-01-24,Retail,Latin America,Software Licenses,Retail - Product 5,25575.38,25717.65,-142.27,1,1,2023,-0.0056
TXN-104116,2023-01-24,Hardware,North America,Logistics,Hardware - Product 4,96673.97,54203.02,42470.95,1,1,2023,0.4393
TXN-104662,2023-01-24,Consulting Services,Europe,Real Estate,Consulting Services - Product 2,32911.64,22775.47,10136.17,1,1,2023,0.308
TXN-103156,2023-01-24,Cloud Infrastructure,North America,R&D,Cloud Infrastructure - Product 2,122189.13,97404.6,24784.53,1,1,2023,0.2028
TXN-102313,2023-01-24,Retail,Asia Pacific,Salaries,Retail - Product 5,13314.93,16425.87,-3110.94,1,1,2023,-0.2336
TXN-100828,2023-01-24,Cloud Infrastructure,Asia Pacific,Logistics,Cloud Infrastructure - Product 2,180584.41,172904.48,7679.93,1,1,2023,0.0425
TXN-102720,2023-01-24,Cloud Infrastructure,Europe,Operations,Cloud Infrastructure - Product 4,24009.85,26358.37,-2348.52,1,1,2023,-0.0978
TXN-103597,2023-01-25,Hardware,Europe,Salaries,Hardware - Product 3,45309.16,49747.66,-4438.5,1,1,2023,-0.098
TXN-102540,2023-01-25,Cloud Infrastructure,Europe,Real Estate,Cloud Infrastructure - Product 1,104898.93,87988.3,16910.63,1,1,2023,0.1612
TXN-102153,2023-01-25,Retail,North America,Salaries,Retail - Product 1,10448.4,13620.84,-3172.44,1,1,2023,-0.3036
TXN-101466,2023-01-25,Cloud Infrastructure,Latin America,R&D,Cloud Infrastructure - Product 2,125544.48,92868.62,32675.86,1,1,2023,0.2603
TXN-103176,2023-01-25,Retail,North America,Operations,Retail - Product 4,30270.09,25323.26,4946.83,1,1,2023,0.1634
TXN-101957,2023-01-25,Consulting Services,North America,Salaries,Consulting Services - Product 3,92860.27,77378.33,15481.94,1,1,2023,0.1667
TXN-101878,2023-01-25,Consulting Services,Latin America,Real Estate,Consulting Services - Product 2,44416.57,36206.57,8210.0,1,1,2023,0.1848
TXN-104672,2023-01-25,Cloud Infrastructure,Asia Pacific,Operations,Cloud Infrastructure - Product 1,30648.24,32877.47,-2229.23,1,1,2023,-0.0727
TXN-104364,2023-01-25,Cloud Infrastructure,North America,Logistics,Cloud Infrastructure - Product 1,157783.14,177858.65,-20075.51,1,1,2023,-0.1272
TXN-103870,2023-01-26,Retail,Latin America,Real Estate,Retail - Product 4,40204.26,42339.95,-2135.69,1,1,2023,-0.0531
TXN-104913,2023-01-26,Consulting Services,North America,Operations,Consulting Services - Product 5,32658.88,30395.16,2263.72,1,1,2023,0.0693
TXN-100588,2023-01-26,Hardware,Europe,Marketing,Hardware - Product 2,87903.6,90545.85,-2642.25,1,1,2023,-0.0301
TXN-102657,2023-01-26,Cloud Infrastructure,Asia Pacific,Real Estate,Cloud Infrastructure - Product 5,44459.61,36980.98,7478.63,1,1,2023,0.1682
TXN-102598,2023-01-26,Retail,Latin America,Operations,Retail - Product 3,20702.01,13132.47,7569.54,1,1,2023,0.3656
TXN-101075,2023-01-27,Consulting Services,North America,R&D,Consulting Services - Product 3,43620.25,28978.31,14641.94,1,1,2023,0.3357
TXN-101360,2023-01-27,Cloud Infrastructure,Europe,Marketing,Cloud Infrastructure - Product 5,68622.54,57033.42,11589.12,1,1,2023,0.1689
TXN-101506,2023-01-27,Enterprise Software,Asia Pacific,Real Estate,Enterprise Software - Product 5,146131.35,96151.41,49979.94,1,1,2023,0.342
TXN-100780,2023-01-27,Cloud Infrastructure,Asia Pacific,Software Licenses,Cloud Infrastructure - Product 2,122067.76,123465.83,-1398.07,1,1,2023,-0.0115
TXN-103660,2023-01-27,Hardware,North America,R&D,Hardware - Product 5,94707.02,121981.44,-27274.42,1,1,2023,-0.288
TXN-102420,2023-01-28,Cloud Infrastructure,Europe,Real Estate,Cloud Infrastructure - Product 2,199447.92,206064.89,-6616.97,1,1,2023,-0.0332
TXN-101158,2023-01-28,Retail,Asia Pacific,R&D,Retail - Product 3,9443.49,12853.56,-3410.07,1,1,2023,-0.3611
TXN-104425,2023-01-28,Cloud Infrastructure,Latin America,Logistics,Cloud Infrastructure - Product 1,79811.71,72293.27,7518.44,1,1,2023,0.0942
TXN-101255,2023-01-28,Retail,Latin America,R&D,Retail - Product 1,20464.6,21218.34,-753.74,1,1,2023,-0.0368
TXN-103286,2023-01-28,Consulting Services,Europe,Marketing,Consulting Services - Product 3,21369.3,12190.1,9179.2,1,1,2023,0.4296
TXN-103238,2023-01-28,Hardware,Europe,Marketing,Hardware - Product 3,105527.38,91987.46,13539.92,1,1,2023,0.1283
TXN-103749,2023-01-28,Consulting Services,North America,R&D,Consulting Services - Product 1,51760.97,34874.7,16886.27,1,1,2023,0.3262
TXN-101792,2023-01-28,Enterprise Software,Europe,Real Estate,Enterprise Software - Product 5,54537.32,50863.24,3674.08,1,1,2023,0.0674
TXN-103797,2023-01-28,Retail,Asia Pacific,Software Licenses,Retail - Product 3,46314.76,49746.68,-3431.92,1,1,2023,-0.0741
TXN-102971,2023-01-28,Cloud Infrastructure,Asia Pacific,Marketing,Cloud Infrastructure - Product 2,55015.72,39374.16,15641.56,1,1,2023,0.2843
TXN-104229,2023-01-29,Retail,Asia Pacific,Logistics,Retail - Product 3,28500.24,29383.87,-883.63,1,1,2023,-0.031
TXN-101460,2023-01-29,Enterprise Software,Asia Pacific,Operations,Enterprise Software - Product 5,102796.95,114187.73,-11390.78,1,1,2023,-0.1108
TXN-104310,2023-01-29,Cloud Infrastructure,Europe,Salaries,Cloud Infrastructure - Product 5,33250.51,40042.87,-6792.36,1,1,2023,-0.2043
TXN-104670,2023-01-30,Retail,Latin America,Operations,Retail - Product 3,15761.84,12310.37,3451.47,1,1,2023,0.219
TXN-104742,2023-01-30,Retail,Europe,Marketing,Retail - Product 4,43305.21,47391.94,-4086.73,1,1,2023,-0.0944
TXN-104129,2023-01-30,Enterprise Software,Europe,Salaries,Enterprise Software - Product 4,19515.01,16848.07,2666.94,1,1,2023,0.1367
TXN-100987,2023-01-30,Retail,Europe,Real Estate,Retail - Product 5,38578.91,37945.24,633.67,1,1,2023,0.0164
TXN-103914,2023-01-30,Consulting Services,Europe,R&D,Consulting Services - Product 2,42217.28,33018.98,9198.3,1,1,2023,0.2179
TXN-103743,2023-01-30,Hardware,Europe,Real Estate,Hardware - Product 1,68636.1,45615.85,23020.25,1,1,2023,0.3354
TXN-104465,2023-01-30,Enterprise Software,Europe,R&D,Enterprise Software - Product 5,58733.25,77752.38,-19019.13,1,1,2023,-0.3238
TXN-100185,2023-01-30,Enterprise Software,Asia Pacific,Logistics,Enterprise Software - Product 3,137579.5,82145.62,55433.88,1,1,2023,0.4029
TXN-102123,2023-01-30,Hardware,Latin America,Operations,Hardware - Product 1,33293.6,37455.43,-4161.83,1,1,2023,-0.125
TXN-104983,2023-01-30,Hardware,Europe,R&D,Hardware - Product 1,36016.09,26151.19,9864.9,1,1,2023,0.2739
